tok	miss	routed	M	coldGate	totGate	margin	coldW
34	13	320	1	-50.902344	-1271.9717	5.859375	1.5424424
35	20	320	1	-78.103516	-1221.565	15.328125	2.0913332
36	28	320	1	-97.13672	-1304.8125	9.515625	3.1707127
37	16	320	1	-66.30859	-1328.2051	13.265625	1.8963621
38	20	320	1	-78.9082	-1204.831	8.234375	2.0271273
39	17	320	1	-63.291016	-1200.7815	11.390625	1.6403286
40	22	320	1	-84.52051	-1289.4575	11.53125	2.5196705
41	29	320	1	-103.586914	-1317.4834	12.0	3.7244046
42	7	320	1	-28.583984	-1244.7598	8.34375	0.81923586
43	14	320	1	-51.65039	-1164.374	11.71875	1.1445103
44	17	320	1	-64.38867	-1189.4966	10.4375	1.5520501
45	21	320	1	-81.27539	-1278.5312	12.8125	2.3650973
46	35	320	1	-131.72949	-1331.4873	13.84375	4.122196
47	23	320	1	-86.37109	-1316.8379	9.0	3.7810035
48	10	320	1	-41.72461	-1246.8584	8.75	0.9004344
49	21	320	1	-77.50195	-1186.1348	18.09375	2.4189076
50	12	320	1	-45.242188	-1215.1211	14.5	1.3944726
51	13	320	1	-50.882812	-1221.3857	15.515625	1.3574201
52	840	5440	17	0.0	0.0	1.90625	0.0
53	44	320	1	-169.57812	-1257.0576	1.578125	5.4604654
54	109	320	1	-402.4004	-1273.4883	9.46875	15.665815
55	37	320	1	-131.4668	-1253.8945	8.234375	5.6055784
56	28	320	1	-109.31055	-1254.9795	2.3125	3.4583814
57	76	320	1	-284.6631	-1257.9697	1.28125	9.81709
58	107	320	1	-405.9414	-1308.9785	9.15625	16.339212
59	72	320	1	-253.98145	-1248.3115	6.78125	11.29736
60	83	320	1	-309.23828	-1266.8975	3.859375	11.349061
61	69	320	1	-250.63672	-1228.8574	2.03125	9.261275
62	134	320	1	-467.74023	-1183.2031	1.53125	18.645115
63	56	320	1	-208.98633	-1207.6016	4.671875	6.5231643
64	24	320	1	-89.61328	-1225.3652	0.375	3.201726
65	56	320	1	-191.61426	-1207.1885	3.0625	7.5216384
66	26	320	1	-96.13867	-1248.6172	12.765625	3.872088
67	39	320	1	-132.7539	-1209.5117	0.171875	5.1599255
68	28	320	1	-103.56055	-1221.9424	8.921875	3.5619779
69	39	320	1	-135.8584	-1235.831	2.34375	4.9004602
70	21	320	1	-77.33789	-1221.9336	5.0	2.317439
71	35	320	1	-132.86426	-1262.9111	12.3046875	4.770041
72	40	320	1	-138.6914	-1221.9707	0.25	5.1514516
73	27	320	1	-102.37305	-1237.6279	4.625	3.6656845
74	45	320	1	-155.37988	-1227.21	3.203125	5.7611713
75	74	320	1	-266.18066	-1222.1729	0.0625	9.354405
76	36	320	1	-133.47461	-1204.6875	1.1875	4.2051206
77	36	320	1	-142.60547	-1275.2871	4.765625	4.8179
78	40	320	1	-140.77637	-1206.4092	7.625	5.454603
79	29	320	1	-87.88721	-986.03467	4.734375	3.040933
80	27	320	1	-86.52002	-1085.5288	15.375	3.325932
81	21	320	1	-79.81641	-1201.0605	9.734375	1.9053748
82	23	320	1	-83.819336	-1204.5137	13.0859375	2.4125946
83	16	320	1	-60.070312	-1218.7695	2.890625	2.0184398
84	53	320	1	-198.32227	-1200.2197	11.4375	5.8938937
85	41	320	1	-141.2793	-1145.9668	0.21875	5.6731
86	17	320	1	-63.39258	-1242.1865	9.859375	2.0395012
87	5	320	1	-21.08789	-1301.5938	12.90625	0.531357
88	3	320	1	-11.609375	-1196.0942	10.171875	0.30124718
89	588	5440	17	0.0	0.0	6.828125	0.0
90	9	320	1	-33.44336	-1261.3408	15.34375	0.9796502
91	5	320	1	-17.632812	-1102.9302	13.5	0.58074665
92	12	320	1	-46.82422	-1209.1426	0.640625	1.1293738
93	477	5440	17	0.0	0.0	0.515625	0.0
94	47	320	1	-170.58008	-1173.1719	1.328125	6.2718487
95	115	320	1	-414.34277	-1236.7314	2.25	16.719645
96	90	320	1	-321.73926	-1207.877	0.296875	12.432635
97	34	320	1	-127.03125	-1217.0713	8.640625	3.9995081
98	41	320	1	-149.0625	-1194.8896	3.234375	4.6132483
99	69	320	1	-251.75879	-1213.5264	7.71875	7.9452944
100	39	320	1	-145.74805	-1199.8359	2.78125	4.374225
101	36	320	1	-138.08984	-1205.4795	3.015625	4.136573
102	51	320	1	-194.7168	-1239.9883	3.015625	6.9821553
103	45	320	1	-153.96289	-1250.6309	8.0	6.283899
104	11	320	1	-39.01758	-1215.6372	15.5	1.2485638
105	24	320	1	-92.91211	-1207.0752	11.4375	2.4289286
106	25	320	1	-99.68164	-1275.9863	5.921875	2.9991546
107	25	320	1	-96.11328	-1281.0977	13.5	3.2828054
108	24	320	1	-90.94531	-1158.2871	7.671875	3.0373218
109	45	320	1	-162.66992	-1169.0137	1.484375	6.410948
110	127	320	1	-459.5791	-1247.8076	2.140625	18.8592
111	111	320	1	-405.36035	-1204.123	1.0	15.037358
112	21	320	1	-75.82031	-1177.8232	2.53125	2.7091916
113	73	320	1	-247.44482	-1176.4194	2.71875	9.84791
114	147	320	1	-501.85547	-1179.084	0.421875	22.289465
115	103	320	1	-350.83398	-1137.3037	3.515625	13.645246
116	63	320	1	-237.25977	-1201.834	0.796875	7.088533
117	72	320	1	-256.8877	-1185.8135	0.78125	9.782957
118	46	320	1	-160.62305	-1256.5508	6.140625	6.365909
119	22	320	1	-80.47461	-1211.1592	16.015625	2.6584778
120	26	320	1	-103.99609	-1293.7607	11.8046875	2.804214
121	1164	5120	16	0.0	0.0	0.484375	0.0
122	28	320	1	-105.16992	-1228.9883	0.53125	3.3880494
123	29	320	1	-109.84082	-1251.376	12.2578125	3.5722353
124	20	320	1	-70.728516	-1178.2314	0.15625	1.9666575
125	21	320	1	-79.52734	-1234.166	8.0625	2.6612604
126	8	320	1	-31.21289	-1161.6079	6.1875	0.78187543
127	25	320	1	-96.15039	-1155.5107	2.3125	2.7025087
128	62	320	1	-228.12305	-1254.9424	5.546875	8.309314
129	63	320	1	-228.08594	-1184.377	0.5	8.1895
130	90	320	1	-317.81836	-1174.7324	0.953125	12.507326
131	79	320	1	-280.20703	-1235.7158	1.21875	11.733491
132	57	320	1	-199.51172	-1233.7422	0.96875	8.724419
133	71	320	1	-258.94727	-1217.7129	2.109375	9.637517
134	124	320	1	-461.29883	-1243.416	0.65625	17.100504
135	81	320	1	-295.4209	-1183.1045	1.109375	9.641852
136	86	320	1	-314.20117	-1182.8438	0.21875	10.653106
137	166	320	1	-561.0254	-1142.4434	1.5625	23.856373
138	168	320	1	-598.9219	-1170.1719	0.328125	22.159573
139	71	320	1	-262.9043	-1195.0801	0.671875	8.680872
140	56	320	1	-204.06836	-1251.4102	4.734375	7.309117
141	29	320	1	-103.478516	-1214.8564	12.5	3.6346967
142	25	320	1	-95.43848	-1265.0713	8.9140625	2.9365125
143	1024	5440	17	0.0	0.0	4.203125	0.0
144	24	320	1	-90.63086	-1246.1514	1.171875	2.5612397
145	40	320	1	-149.06836	-1235.002	4.421875	5.2602158
146	37	320	1	-143.14453	-1212.3262	1.546875	3.3033876
147	28	320	1	-107.67969	-1164.6045	11.078125	2.6657028
148	25	320	1	-93.450195	-1214.3828	8.234375	2.7785258
149	28	320	1	-112.00391	-1225.5107	0.265625	2.8029678
150	103	320	1	-371.1416	-1179.207	1.2890625	13.492063
151	119	320	1	-412.58887	-1145.374	0.0078125	15.164222
152	84	320	1	-283.88672	-1147.6846	0.703125	11.047752
153	60	320	1	-216.49219	-1213.2207	2.9296875	7.525007
154	25	320	1	-97.58594	-1236.9766	2.875	2.8807476
155	24	320	1	-90.96289	-1155.1658	2.9453125	2.4574432
156	40	320	1	-152.44727	-1196.3418	1.6875	4.2504826
157	66	320	1	-243.31152	-1245.4854	2.078125	9.064294
158	131	320	1	-486.92285	-1205.1885	0.9296875	16.876366
159	105	320	1	-371.1787	-1186.6494	2.609375	13.949174
160	97	320	1	-337.04004	-1188.541	0.1875	12.928414
161	80	320	1	-296.00293	-1205.1025	1.09375	9.900379
162	643	2880	9	0.0	0.0	4.71875	0.0
171	716	2880	9	0.0	0.0	4.0625	0.0
180	864	2880	9	0.0	0.0	4.125	0.0
189	894	2880	9	0.0	0.0	2.703125	0.0
198	1835	5440	17	0.0	0.0	4.0390625	0.0
215	2649	8000	25	0.0	0.0	4.15625	0.0
240	2783	8000	25	0.0	0.0	7.03125	0.0
265	2917	8000	25	0.0	0.0	7.0390625	0.0
290	1089	8000	25	0.0	0.0	9.625	0.0
315	765	8000	25	0.0	0.0	6.859375	0.0
340	615	8000	25	0.0	0.0	6.234375	0.0
365	688	8000	25	0.0	0.0	5.375	0.0
390	698	8000	25	0.0	0.0	7.9765625	0.0
415	759	8000	25	0.0	0.0	7.6328125	0.0
440	216	8000	25	0.0	0.0	10.03125	0.0
465	176	8000	25	0.0	0.0	6.75	0.0
490	158	8000	25	0.0	0.0	10.2578125	0.0
515	196	8000	25	0.0	0.0	7.375	0.0
540	218	8000	25	0.0	0.0	9.171875	0.0
565	288	8000	25	0.0	0.0	6.34375	0.0
590	201	8000	25	0.0	0.0	9.2734375	0.0
615	220	8000	25	0.0	0.0	8.4140625	0.0
640	158	8000	25	0.0	0.0	10.796875	0.0
665	153	8000	25	0.0	0.0	7.453125	0.0
690	187	8000	25	0.0	0.0	10.9453125	0.0
715	236	8000	25	0.0	0.0	7.4453125	0.0
740	243	8000	25	0.0	0.0	9.734375	0.0
765	236	8000	25	0.0	0.0	6.59375	0.0
790	253	8000	25	0.0	0.0	10.4453125	0.0
815	266	8000	25	0.0	0.0	9.84375	0.0
840	225	8000	25	0.0	0.0	11.3984375	0.0
865	250	8000	25	0.0	0.0	8.9609375	0.0
890	197	8000	25	0.0	0.0	10.828125	0.0
915	119	8000	25	0.0	0.0	8.5	0.0
940	216	8000	25	0.0	0.0	10.640625	0.0
965	173	8000	25	0.0	0.0	8.2265625	0.0
990	164	8000	25	0.0	0.0	10.8125	0.0
