tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
50	30	320	1	-119.615234	-1313.752	9.8125	3.7631106	0.00084959215	303:30.4375,3309:20.625,11:18.40625,16002:17.84375,1669:17.8125,17458:16.203125,17789:15.9765625,4613:15.8984375
51	35	320	1	-131.41895	-1310.4502	5.578125	5.0350127	0.025281874	264:29.78125,16002:24.203125,279:19.578125,25534:16.921875,8720:15.9140625,449:15.5,10605:14.6875,52173:14.0
52	47	320	1	-181.18457	-1224.3477	12.265625	5.7407384	0.00029460914	16002:29.46875,84810:17.203125,97773:16.703125,52173:16.453125,10605:15.8125,10617:15.5546875,14882:15.2109375,6321:15.125
53	1030	5440	17	0.0	0.0	5.90625	0.0	0.029237546	11:27.0625,13:21.15625,318:19.59375,198:19.078125,17789:17.84375,2716:17.8125,10782:15.2578125,1669:14.9296875
54	44	320	1	-157.33301	-1257.4658	4.125	5.650113	0.11166442	2716:26.15625,18641:22.03125,17789:19.796875,5939:17.71875,6779:17.53125,42140:17.015625,13861:16.96875,3255:16.921875
55	62	320	1	-244.63477	-1297.3379	8.65625	8.52885	0.003632725	3255:30.40625,18641:21.75,16491:21.453125,2984:19.328125,3443:19.296875,98615:19.171875,25638:17.5,75701:16.515625
56	41	320	1	-154.65723	-1277.6543	4.0	5.3687363	0.110720195	3443:29.5625,13:25.5625,318:22.78125,5759:22.671875,2984:21.21875,18641:20.984375,1304:18.140625,198:16.578125
57	57	320	1	-225.17188	-1299.2969	10.0625	7.1244674	0.00096662855	13:29.84375,11:19.78125,318:19.765625,18641:14.6171875,198:14.4609375,23197:14.2265625,5939:13.7890625,3749:13.3984375
58	45	320	1	-180.20898	-1244.6523	1.21875	5.3100147	0.5372074	198:25.078125,271:23.859375,1358:13.703125,987:11.53125,248046:10.75,56963:9.1171875,41717:8.984375,14235:8.7734375
59	43	320	1	-148.79785	-1159.4004	12.53125	5.206277	9.647482e-05	256:28.296875,220:15.765625,5690:14.515625,248069:13.8984375,17:13.578125,12:13.2890625,257:12.796875,471:12.4921875
60	62	320	1	-236.11816	-1219.6416	16.421875	7.349292	4.3596283e-06	471:32.53125,2972:16.109375,15754:15.1875,185756:15.0078125,1317:14.984375,220:14.515625,256:14.015625,345:13.984375
61	1223	5440	17	0.0	0.0	14.484375	0.0	3.6765574e-05	2972:31.4375,348:16.953125,332:16.578125,345:16.234375,64644:15.8046875,93687:15.71875,15754:15.3046875,471:15.234375
63	35	320	1	-130.85156	-1208.8145	0.765625	4.3322716	3.42219	64644:17.09375,55985:16.328125,521:15.8046875,316:15.7421875,29925:14.6015625,57545:14.4765625,588:14.375,1180:14.2734375
64	73	320	1	-254.97559	-1203.9541	1.40625	10.434818	0.93974584	14:24.796875,64700:23.390625,9964:22.984375,16240:20.375,15861:20.171875,26355:18.625,10968:17.984375,93324:17.984375
65	48	320	1	-181.53809	-1258.3086	0.640625	5.501375	0.729764	2247:26.765625,36282:26.125,12232:22.328125,4232:20.734375,14951:20.40625,17015:20.234375,85966:20.1875,11574:19.1875
66	44	320	1	-168.95117	-1236.3008	8.671875	5.4636436	0.0038119545	64700:26.734375,92217:18.0625,25:17.625,170286:15.5859375,5097:15.5625,188912:15.421875,51595:14.9140625,245342:14.3125
67	27	320	1	-100.93945	-1211.6562	2.515625	2.8866804	0.42459008	5097:22.625,2885:20.109375,16018:17.65625,90410:17.328125,11910:17.1875,41717:16.109375,43792:15.9609375,353:15.4765625
68	64	320	1	-242.75977	-1243.4434	4.421875	8.982892	0.091562435	11:23.875,310:19.453125,694:17.703125,471:15.328125,685:15.3203125,22869:15.234375,11190:14.15625,13:14.125
69	58	320	1	-211.0332	-1237.7402	9.078125	7.567654	0.0014735219	694:32.53125,628:23.453125,1362:21.640625,4222:19.5,137359:19.328125,96342:18.171875,13188:17.71875,150009:17.453125
70	95	320	1	-328.03516	-1173.3086	0.390625	13.050697	1.556685	353:23.3125,10813:22.921875,628:22.734375,4222:21.78125,1220:20.59375,46736:19.5,8524:19.15625,1362:18.859375
71	84	320	1	-300.2422	-1196.0713	1.421875	11.709273	0.746498	3172:25.984375,1220:24.5625,628:22.90625,8940:21.828125,15192:20.8125,668:20.640625,2688:18.625,4548:18.390625
72	77	320	1	-274.36914	-1176.7627	5.984375	10.065493	0.045466445	8940:29.703125,708:23.71875,15192:23.34375,35848:23.28125,68227:20.4375,2553:20.421875,20878:20.203125,46736:18.578125
73	44	320	1	-152.24023	-1182.9375	12.53125	5.6811204	9.562787e-05	364:32.4375,1891:19.90625,2414:18.625,3514:18.609375,42900:17.4375,95814:17.4375,1690:15.6484375,2381:15.4375
74	33	320	1	-122.13867	-1218.5337	0.09375	3.382518	0.8770707	2414:25.234375,42900:25.140625,264:22.140625,3514:21.109375,9781:20.40625,49986:19.0625,37099:18.5625,13987:18.125
75	46	320	1	-169.58789	-1231.4688	3.109375	5.717184	0.3641999	42900:25.703125,9781:22.59375,3514:22.453125,49986:19.65625,37099:18.734375,83508:17.953125,82298:17.734375,83093:17.515625
76	34	320	1	-124.07422	-1227.9141	10.4375	4.079108	0.0004695541	11:29.578125,321:19.140625,9781:17.75,440:15.546875,5205:14.3984375,3082:14.1328125,8106:13.78125,14:13.4609375
77	42	320	1	-155.60059	-1196.8564	5.75	4.6033263	0.035731718	9781:27.5625,49986:21.8125,24715:20.0625,37099:19.75,8106:19.09375,133487:18.203125,83093:17.734375,6970:17.28125
78	49	320	1	-176.75781	-1202.9473	0.28125	6.445075	0.97753495	83093:24.09375,24577:23.8125,66117:21.078125,79434:21.015625,24715:19.25,22960:18.984375,49986:18.765625,89158:18.15625
79	42	320	1	-158.39258	-1228.9473	2.078125	5.286896	2.190403	7516:20.625,50985:18.546875,4384:18.4375,15308:18.40625,20569:18.390625,13609:17.6875,305:17.3125,4117:17.3125
80	32	320	1	-122.078125	-1245.3535	1.15625	3.9736257	0.9106578	694:25.828125,11:24.671875,3482:24.3125,440:20.296875,466:19.734375,138045:16.53125,14:16.203125,6316:15.8515625
81	62	320	1	-221.6543	-1199.415	0.34375	7.7952776	1.0020142	13260:24.46875,440:24.125,36307:23.09375,13004:18.671875,9297:18.15625,91243:15.9609375,10029:15.8828125,3769:15.875
82	53	320	1	-181.08203	-1185.3184	5.34375	7.819658	0.10555417	36307:24.375,91243:19.03125,49986:18.125,89158:17.78125,27264:17.546875,2438:17.046875,3769:16.875,19072:16.625
83	36	320	1	-142.02539	-1254.6094	1.84375	4.1245685	0.82216775	11:24.234375,466:22.390625,14:21.25,3082:20.765625,4181:19.578125,6125:19.015625,31355:18.828125,13:18.8125
84	49	320	1	-180.94629	-1231.0498	4.515625	5.893613	0.0960045	440:26.9375,25504:22.421875,20434:21.171875,11088:19.28125,13852:18.75,42873:18.109375,46736:17.921875,12219:17.765625
85	36	320	1	-132.32812	-1197.4932	6.140625	4.3999443	0.04650501	264:25.078125,40630:18.9375,11088:18.65625,1603:16.90625,3619:16.484375,46368:16.296875,25602:16.265625,55394:16.21875
86	35	320	1	-140.95117	-1227.8721	0.15625	3.7481337	0.7363887	5077:24.6875,5615:24.53125,5357:19.3125,11088:18.53125,2708:18.171875,12639:17.484375,11012:16.71875,30333:16.15625
87	27	320	1	-101.76367	-1220.4629	10.734375	3.187079	0.00078279077	383:27.765625,95041:17.03125,29310:16.5,314:15.8359375,46368:15.5,13618:14.25,3542:14.0390625,5028:13.8359375
88	21	320	1	-73.90137	-1192.7451	0.328125	2.3968506	0.99803257	29310:23.03125,95041:22.703125,46368:19.90625,16078:19.03125,13618:18.640625,279:17.921875,11012:17.8125,24715:17.359375
89	25	320	1	-93.98633	-1233.2422	0.078125	3.1777956	0.72613317	11:22.34375,321:22.265625,5972:16.609375,6316:15.546875,12680:15.2421875,90189:14.7265625,8996:14.328125,8388:13.2109375
90	33	320	1	-117.95215	-1189.9541	1.59375	3.8150058	1.4351592	13618:22.265625,17789:20.671875,3511:20.578125,13783:20.203125,21831:19.015625,4779:18.75,854:18.140625,38896:17.75
91	24	320	1	-92.60156	-1239.168	7.859375	3.072544	0.0064860326	11:27.328125,14293:19.46875,66209:17.984375,10548:17.71875,1602:16.890625,35564:16.515625,12680:15.640625,41696:15.625
92	39	320	1	-143.7666	-1237.1357	10.71875	4.509657	0.0006319897	321:28.765625,1372:18.046875,1179:16.328125,17789:16.15625,10647:16.078125,3611:15.828125,3511:15.7265625,264:15.34375
93	44	320	1	-155.98438	-1202.3496	2.328125	5.385752	1.0577499	264:23.203125,279:20.875,16015:20.578125,3611:20.171875,17789:19.734375,3511:19.65625,10647:19.625,1372:19.0625
94	33	320	1	-134.9414	-1218.6523	1.140625	3.5278502	1.1276209	5615:22.046875,10647:20.90625,4299:19.140625,14744:18.515625,25794:18.09375,25602:17.796875,14431:17.65625,16015:17.15625
95	25	320	1	-95.84961	-1221.3027	11.546875	2.8614597	0.00027753453	314:29.140625,21831:17.59375,279:16.953125,8404:15.6171875,1020:15.53125,10642:15.1953125,5596:15.1328125,22960:13.5859375
96	27	320	1	-93.668945	-1210.0352	2.203125	3.3854208	0.6592473	21831:24.953125,5596:22.75,10642:22.59375,279:20.53125,22960:19.671875,55394:16.65625,11012:16.03125,1372:15.9453125
97	28	320	1	-106.11133	-1250.1113	1.875	3.5489042	1.2959536	13:23.0,90189:21.125,6125:20.96875,3082:20.296875,14:20.171875,466:20.109375,2600:18.5,5596:17.6875
98	51	320	1	-198.3291	-1229.4727	11.953125	5.9288282	0.0003852914	271:25.984375,10382:14.03125,198:13.5078125,1358:12.625,1061:12.4375,987:12.1640625,561:12.1484375,70446:11.953125
99	59	320	1	-181.58203	-1001.54297	7.6875	6.710398	0.0045143897	17:25.25,256:17.5625,18:13.9609375,16:12.1171875,22:11.9453125,21:11.7734375,19:11.671875,20:11.3984375
100	51	320	1	-174.33496	-1110.2422	13.9609375	6.6791115	2.8795701e-05	13:29.109375,159029:15.1484375,29329:13.609375,15174:13.1953125,11:12.4921875,12048:12.3984375,5946:12.3203125,220:12.296875
101	40	320	1	-147.40234	-1195.208	5.5625	4.8458357	0.027311713	220:24.125,2972:18.5625,198:14.8046875,271:14.0,288:13.0,436:12.5234375,561:11.6796875,457:11.65625
102	52	320	1	-186.86914	-1206.3457	10.40625	6.4365764	0.0006918934	2972:24.8125,332:14.40625,220:11.671875,109061:11.0,40028:10.6328125,17796:10.4140625,348:10.296875,12331:10.25
103	46	320	1	-175.96289	-1244.8184	0.0625	5.7648134	0.6959072	12048:30.890625,62879:30.828125,1847:22.84375,15174:21.21875,5218:20.875,19821:20.765625,29329:20.53125,18610:20.0625
104	17	320	1	-65.97656	-1239.0586	3.390625	1.9178362	0.14401896	594:29.984375,10499:26.59375,38114:18.25,14:17.921875,19427:17.671875,18065:17.5,4257:17.1875,1160:17.140625
105	33	320	1	-113.41504	-1242.3662	10.9375	4.2965364	0.00026827527	19427:36.875,14951:25.9375,6047:24.140625,19696:22.3125,10969:21.953125,14874:20.9375,18065:19.046875,58419:18.40625
106	29	320	1	-106.80859	-1255.1953	8.5625	4.1768093	0.003778566	10499:31.53125,38114:22.96875,64700:22.734375,4257:21.015625,29329:18.796875,28604:18.65625,18065:18.1875,67883:17.828125
107	62	320	1	-239.95117	-1278.5957	10.078125	7.5734277	0.000508022	64700:32.09375,25:22.015625,332:17.859375,245342:17.84375,188912:17.65625,92217:17.125,7518:16.78125,318:15.9765625
108	18	320	1	-62.305664	-1200.9463	13.890625	2.4396343	2.1558226e-05	198:29.703125,695:15.8125,248046:14.3984375,271:12.4375,2228:12.3828125,11679:11.9375,1358:11.234375,220:11.046875
109	28	320	1	-99.634766	-1127.8262	10.59375	2.7899153	0.00038398762	256:28.75,471:18.15625,220:15.6875,262:15.6328125,257:15.578125,5690:13.1875,406:12.296875,12:11.8828125
110	39	320	1	-146.57422	-1186.5312	8.765625	4.285384	0.001914676	471:26.0625,348:17.296875,2972:14.953125,185756:13.8984375,641:13.0859375,12:11.6015625,27478:11.1640625,82956:11.1640625
111	741	5440	17	0.0	0.0	0.109375	0.0	0.6918524	2972:30.453125,348:30.34375,436:18.703125,78812:18.5,244068:17.765625,13262:17.40625,44067:17.140625,3855:16.703125
113	54	320	1	-200.7998	-1260.999	4.2265625	8.001548	0.8676829	55965:17.265625,78812:13.0390625,64700:12.25,1012:12.1484375,536:11.6875,3855:11.5390625,18291:11.296875,75:11.1171875
114	41	320	1	-152.66016	-1205.9805	8.453125	5.058907	0.0067602387	78812:28.109375,51624:19.65625,64700:19.5625,3855:19.4375,13262:17.890625,18291:17.671875,74591:17.109375,6362:15.46875
115	37	320	1	-136.94336	-1202.6777	8.75	4.349022	0.0036505929	64700:28.203125,3855:19.453125,25:19.25,92217:16.78125,51595:16.515625,82697:16.21875,188912:16.125,245342:15.9765625
116	22	320	1	-76.27637	-1184.8613	2.25	2.4178455	1.0349841	82697:22.734375,6558:20.484375,41717:20.46875,26691:19.4375,3855:19.3125,7798:19.203125,32159:18.25,3851:17.9375
117	66	320	1	-230.46875	-1177.7539	0.75	9.371856	1.3718626	13:18.078125,645:17.328125,88126:16.515625,11:16.046875,74294:13.984375,318:13.9296875,91947:13.0859375,27520:13.0703125
118	26	320	1	-90.26367	-1191.5352	2.796875	3.1333601	0.50995564	52117:22.453125,10306:19.65625,12230:18.796875,13305:18.09375,37289:16.71875,12704:16.6875,3855:16.40625,34644:16.140625
119	37	320	1	-134.19727	-1225.1729	8.171875	5.066431	0.012202178	11:24.390625,466:16.21875,30:15.6953125,1056:15.6328125,6970:14.8359375,8831:14.734375,318:14.5859375,694:14.5703125
120	30	320	1	-101.17676	-1181.4053	0.515625	3.7609441	2.2185295	1654:19.5,8831:18.984375,91893:17.734375,55218:17.5625,10015:17.0,49777:16.984375,14542:16.9375,71709:16.421875
121	26	320	1	-99.625	-1251.5938	11.546875	3.0886467	0.00022568282	908:30.71875,15114:19.171875,2586:18.78125,33510:15.1875,50831:14.5625,30373:14.5390625,11:14.3984375,30222:14.1484375
122	29	320	1	-98.57959	-1234.9497	11.0234375	3.482923	0.001256106	11:25.40625,8831:14.3828125,6107:13.96875,539:13.2265625,2663:12.71875,1429:12.6484375,55218:12.546875,7249:12.2265625
123	26	320	1	-89.299805	-1180.3408	0.796875	3.1848562	2.5023336	6107:18.875,682:18.078125,1429:17.84375,50334:17.8125,55218:17.578125,37811:16.25,23443:15.9375,2144:15.9140625
124	20	320	1	-72.13086	-1191.6514	1.390625	2.2851408	1.1431655	7249:22.171875,303:20.78125,440:19.765625,264:19.703125,383:18.640625,23443:18.21875,9712:16.46875,506:16.390625
125	40	320	1	-140.26953	-1213.5488	0.59375	5.429296	1.8447374	11:20.515625,383:19.921875,440:19.921875,539:18.78125,318:18.484375,364:18.0,466:17.671875,13:17.515625
126	25	320	1	-89.40332	-1204.542	0.75	3.1695755	2.5980654	682:18.53125,8173:17.78125,50334:16.890625,13325:16.625,6970:16.03125,2663:15.75,13205:15.6875,8523:15.6796875
127	28	320	1	-99.94531	-1195.1191	0.78125	3.6285431	1.8670505	8341:19.75,978:18.96875,2725:18.328125,264:18.203125,11815:17.515625,47158:17.390625,7157:16.9375,3750:16.109375
128	25	320	1	-87.07422	-1206.6875	4.03125	3.953885	0.14837043	279:24.265625,411:20.234375,3609:19.15625,854:17.0,780:16.953125,3000:16.21875,7803:15.4609375,264:15.375
129	58	320	1	-202.62012	-1221.5752	3.734375	8.31652	0.25818044	3000:21.953125,324:18.21875,49577:16.96875,7803:15.921875,1788:15.5234375,27056:15.5234375,12346:15.28125,8394:14.4921875
130	46	320	1	-162.7832	-1215.375	5.6875	6.984909	0.05752793	364:23.984375,4162:18.296875,19074:17.359375,383:16.90625,23271:16.59375,1472:15.6171875,2019:14.8984375,4860:13.5859375
131	79	320	1	-279.8545	-1188.9131	1.265625	11.248808	1.0787163	10476:22.515625,220:21.25,1578:20.0,264:18.125,25292:18.09375,279:17.9375,411:17.875,1599:17.515625
132	104	320	1	-359.07422	-1216.0977	1.3125	16.351824	1.1250932	13:21.75,11:20.4375,318:19.921875,314:19.015625,14:17.078125,383:16.734375,220:16.046875,466:15.953125
133	23	320	1	-78.71484	-1196.9336	0.203125	2.7178109	2.9184618	10380:16.9375,47822:16.734375,561:16.6875,5133:16.53125,24188:15.59375,11114:15.125,12642:15.0,3855:14.6484375
134	48	320	1	-159.50879	-1177.6201	0.96875	6.566364	2.114189	5384:19.390625,780:18.421875,551:18.171875,20922:17.703125,279:16.28125,424:16.25,5742:16.09375,264:15.71875
135	38	320	1	-136.63086	-1187.8008	2.9375	5.527836	0.371152	4184:24.15625,780:21.21875,264:19.96875,2414:19.03125,3511:18.25,2902:17.84375,5615:17.328125,854:16.59375
136	46	320	1	-160.08398	-1197.3242	0.8125	6.4263353	1.2520598	11:22.421875,318:21.609375,30:21.28125,1248:19.078125,466:19.03125,303:17.78125,8173:17.40625,1578:16.96875
137	32	320	1	-113.48047	-1201.7852	7.1875	4.1017423	0.037985418	466:24.78125,864:17.59375,6970:17.453125,15612:17.296875,13325:16.625,1669:16.421875,3154:16.421875,1066:15.515625
138	47	320	1	-162.88477	-1170.5449	6.328125	6.296687	0.03199858	1066:25.640625,6970:19.3125,682:17.46875,4777:17.15625,5384:17.03125,1669:16.796875,279:16.546875,14135:16.515625
139	52	320	1	-170.73438	-1169.5049	1.0625	7.979888	2.9782453	11886:18.453125,13325:17.390625,2144:17.28125,16739:17.078125,1669:16.953125,37811:16.71875,27312:16.53125,14135:16.375
140	36	320	1	-129.95703	-1217.668	3.9375	4.6568794	0.10803289	310:25.703125,780:21.765625,13:18.40625,264:17.703125,279:16.484375,836:15.4921875,539:15.453125,5387:15.34375
141	34	320	1	-121.396484	-1201.5161	0.953125	4.1683664	0.7815442	279:25.515625,780:24.5625,13783:22.390625,95041:21.515625,13618:17.765625,29310:17.53125,264:17.28125,13419:16.125
142	55	320	1	-194.32129	-1213.9229	0.453125	8.191898	2.4289436	13783:19.0,1675:18.546875,95041:18.3125,13618:18.0,2531:17.765625,10453:17.40625,55218:17.171875,11012:16.375
143	29	320	1	-101.16016	-1263.9629	8.375	4.8115478	0.008388463	13:25.578125,314:17.203125,4924:16.375,421:16.328125,7249:15.7421875,11:15.140625,5387:15.0546875,2980:14.9296875
144	37	320	1	-132.31836	-1214.7129	3.453125	4.49432	0.195794	6558:23.65625,353:20.203125,198:18.15625,561:17.5625,3855:15.7578125,5133:15.265625,55156:15.140625,66581:14.921875
145	49	320	1	-182.17969	-1257.7617	5.546875	6.6599717	0.080075495	579:23.9375,1384:18.390625,708:18.3125,728:18.1875,725:15.9765625,353:14.59375,780:14.3515625,1010:13.6875
146	73	320	1	-256.48438	-1186.4097	0.359375	9.987559	0.9305617	708:26.453125,1236:26.09375,2873:24.71875,5601:17.421875,2426:17.359375,3237:17.125,15192:17.046875,1910:16.609375
147	61	320	1	-217.25879	-1238.6338	12.40625	8.7571745	0.0002503383	440:28.796875,4058:16.390625,11886:15.296875,2278:14.53125,8831:14.390625,25:14.3203125,25353:14.25,19791:14.140625
148	42	320	1	-148.90625	-1223.6797	0.234375	5.7097526	2.01896	264:20.65625,11886:20.421875,328:20.28125,25:19.703125,4184:19.5,37569:18.96875,11012:17.3125,13618:16.765625
149	31	320	1	-123.08008	-1228.8389	0.046875	4.0057936	1.4891695	5357:20.625,11012:20.578125,855:19.53125,20922:17.96875,49777:17.0,9435:16.21875,86657:16.140625,11886:16.125
150	24	320	1	-92.67969	-1215.4844	7.625	2.908259	0.0055397083	314:26.234375,11012:18.609375,24832:15.0859375,22962:14.6640625,421:14.5859375,8831:14.28125,72978:14.2265625,854:13.7421875
151	23	320	1	-79.09668	-1217.3037	4.3125	2.7881231	0.20099509	11012:22.96875,24832:18.65625,72978:17.28125,8831:17.203125,22962:16.53125,21030:15.7421875,7193:15.390625,13618:15.3203125
152	24	320	1	-89.166016	-1206.0371	2.546875	2.9075067	1.5499703	42189:20.484375,7193:17.9375,13618:17.75,37569:17.578125,2144:17.5625,24693:17.515625,53402:17.046875,9558:16.640625
